array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
0,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,0.5,0.2,
1,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,0.5,1.1,
2,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,0.5,2.0,
3,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,2.25,0.2,
4,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,2.25,1.1,
5,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,2.25,2.0,
6,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,4.0,0.2,
7,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,4.0,1.1,
8,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.1,4.0,2.0,
9,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,0.5,0.2,
10,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,0.5,1.1,
11,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,0.5,2.0,
12,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,2.25,0.2,
13,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,2.25,1.1,
14,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,2.25,2.0,
15,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,4.0,0.2,
16,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,4.0,1.1,
17,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.5,4.0,2.0,
18,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,0.5,0.2,
19,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,0.5,1.1,
20,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,0.5,2.0,
21,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,2.25,0.2,
22,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,2.25,1.1,
23,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,2.25,2.0,
24,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,4.0,0.2,
25,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,4.0,1.1,
26,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.2,0.9,4.0,2.0,
27,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.1,0.5,0.2,
28,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.1,0.5,1.1,
29,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.1,0.5,2.0,
30,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.1,2.25,0.2,
